tconst,titleType,primaryTitle,startYear,genres,averageRating,numVotes
tt0780536,movie,In Bruges,2008,"Comedy,Crime,Drama",7.9,476995
tt3385516,movie,X-Men: Apocalypse,2016,"Action,Adventure,Sci-Fi",6.8,476979
tt1772341,movie,Wreck-It Ralph,2012,"Adventure,Animation,Comedy",7.7,476691
tt2283362,movie,Jumanji: Welcome to the Jungle,2017,"Action,Adventure,Comedy",7.0,474653
tt0093773,movie,Predator,1987,"Action,Adventure,Horror",7.8,473808
tt11564570,movie,Glass Onion,2022,"Comedy,Crime,Drama",7.1,472292
tt0289043,movie,28 Days Later,2002,"Drama,Horror,Sci-Fi",7.5,470727
tt0382625,movie,The Da Vinci Code,2006,"Mystery,Thriller",6.6,470480
tt1259521,movie,The Cabin in the Woods,2011,"Horror,Mystery,Thriller",7.0,469579
tt0765429,movie,American Gangster,2007,"Biography,Crime,Drama",7.8,469570
tt5095030,movie,Ant-Man and the Wasp,2018,"Action,Adventure,Comedy",7.0,469000
tt0087332,movie,Ghostbusters,1984,"Action,Comedy,Fantasy",7.8,468121
tt0319061,movie,Big Fish,2003,"Adventure,Drama,Fantasy",8.0,467838
tt0942385,movie,Tropic Thunder,2008,"Action,Comedy,War",7.1,465031
tt1637688,movie,In Time,2011,"Action,Sci-Fi,Thriller",6.7,464146
tt0093779,movie,The Princess Bride,1987,"Adventure,Comedy,Family",8.0,463760
tt2584384,movie,Jojo Rabbit,2019,"Comedy,Drama,War",7.9,463425
tt0092005,movie,Stand by Me,1986,"Adventure,Comedy,Drama",8.1,460930
tt9376612,movie,Shang-Chi and the Legend of the Ten Rings,2021,"Action,Adventure,Fantasy",7.3,458927
tt0377092,movie,Mean Girls,2004,Comedy,7.1,458049
tt0443453,movie,Borat,2006,Comedy,7.4,458048
tt6264654,movie,Free Guy,2021,"Action,Adventure,Comedy",7.1,457765
tt0119567,movie,The Lost World: Jurassic Park,1997,"Action,Adventure,Sci-Fi",6.6,456839
tt0119698,movie,Princess Mononoke,1997,"Adventure,Animation,Fantasy",8.3,455460
tt0217869,movie,Unbreakable,2000,"Drama,Mystery,Sci-Fi",7.3,454882
tt1187043,movie,3 Idiots,2009,"Comedy,Drama",8.4,454677
tt0088847,movie,The Breakfast Club,1985,"Comedy,Drama",7.8,453760
tt12361974,movie,Zack Snyder's Justice League,2021,"Action,Adventure,Fantasy",7.9,453257
tt0091763,movie,Platoon,1986,"Drama,War",8.1,453169
tt0083866,movie,E.T. the Extra-Terrestrial,1982,"Adventure,Family,Sci-Fi",7.9,451631
tt0105695,movie,Unforgiven,1992,"Drama,Western",8.2,451571
tt0315327,movie,Bruce Almighty,2003,"Comedy,Fantasy",6.8,449909
tt6146586,movie,John Wick: Chapter 3 - Parabellum,2019,"Action,Crime,Thriller",7.4,448933
tt0369339,movie,Collateral,2004,"Action,Crime,Drama",7.5,446519
tt0086879,movie,Amadeus,1984,"Biography,Drama,Music",8.4,445873
tt1245492,movie,This Is the End,2013,"Comedy,Fantasy",6.6,443305
tt8772262,movie,Midsommar,2019,"Drama,Horror,Mystery",7.1,442781
tt9362722,movie,Spider-Man: Across the Spider-Verse,2023,"Action,Adventure,Animation",8.5,442582
tt1399103,movie,Transformers: Dark of the Moon,2011,"Action,Adventure,Sci-Fi",6.2,442569
tt0455944,movie,The Equalizer,2014,"Action,Crime,Thriller",7.3,441904
tt1690953,movie,Despicable Me 2,2013,"Adventure,Animation,Comedy",7.3,441650
